Medicare IPPS Short Stay Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utilization, Program Payments, and Cost Sharing for Original Medicare Beneficiaries, by Area of Residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Discharges Beginning with Emergency Room Visit,Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days Per 1,000 Original Medicare Part A Enrollees",Covered Days Per Person With Utilization,Covered Days Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"1,141,602","154,849","230,418 ",202 ,"1,488","183,151","1,294,451 ","1,134 ",8.36,5.62,"1,243,868 ","1,090 ",8.03,5.40,"3,324,752,764","2,912","21,471","14,429","2,673","246,829,322","13,958,791","11,607",,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,"105,490","14,847","21,314 ",202 ,"1,436","14,640","109,351 ","1,037 ",7.37,5.13,"105,038 ",996 ,7.07,4.93,"305,721,900","2,898","20,591","14,344","2,911","23,017,438","849,886","1,089",,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"1,225,316","179,765","275,562 ",225 ,"1,533","214,673","1,374,516 ","1,122 ",7.65,4.99,"1,308,128 ","1,068 ",7.28,4.75,"3,745,047,575","3,056","20,833","13,591","2,863","286,478,935","12,023,254","10,944",,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"528,109","80,405","118,827 ",225 ,"1,478","86,903","626,765 ","1,187 ",7.80,5.27,"600,768 ","1,138 ",7.47,5.06,"1,587,221,476","3,005","19,740","13,357","2,642","127,674,142","6,141,303","6,390",,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"458,526","44,187","61,713 ",135 ,"1,397","44,524","349,322 ",762 ,7.91,5.66,"332,774 ",726 ,7.53,5.39,"1,061,925,397","2,316","24,033","17,207","3,191","69,316,062","3,590,906","3,312",,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"1,481,205","219,614","336,480 ",227 ,"1,532","272,207","1,809,115 ","1,221 ",8.24,5.38,"1,725,634 ","1,165 ",7.86,5.13,"4,890,460,170","3,302","22,268","14,534","2,834","349,037,488","22,346,644","14,058",,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"109,984","14,733","22,488 ",204 ,"1,526","18,666","119,896 ","1,090 ",8.14,5.33,"111,513 ","1,014 ",7.57,4.96,"322,122,539","2,929","21,864","14,324","2,889","23,590,800","1,617,798",786,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"707,164","95,551","140,211 ",198 ,"1,467","108,904","757,731 ","1,072 ",7.93,5.40,"725,207 ","1,026 ",7.59,5.17,"1,963,251,621","2,776","20,547","14,002","2,707","149,304,628","7,413,877","6,788",,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"136,409","20,236","28,646 ",210 ,"1,416","18,432","140,987 ","1,034 ",6.97,4.92,"136,538 ","1,001 ",6.75,4.77,"424,152,714","3,109","20,960","14,807","3,106","31,635,979","1,207,570","1,157",,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"763,609","107,621","160,485 ",210 ,"1,491","128,263","855,503 ","1,120 ",7.95,5.33,"814,034 ","1,066 ",7.56,5.07,"2,061,337,167","2,699","19,154","12,844","2,532","170,898,445","6,555,117","8,884",,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"2,343,348","327,828","495,033 ",211 ,"1,510","392,475","2,671,788 ","1,140 ",8.15,5.40,"2,536,674 ","1,083 ",7.74,5.12,"7,545,719,900","3,220","23,017","15,243","2,975","514,779,820","35,039,038","22,578",,,,,,,,,,,,,,,,,,,,,,,,,,
